id,이메일,병원명,지역,진료과목,전화번호,웹사이트,발송여부,오픈,오픈시간,클릭,클릭시간
4a0093db,hswdreams@hanmail.net,365연세의원,서울 성동구,,02-2291-2211,https://365ysm-mo4.imweb.me,,,,,
7c2a6496,hello.studioplanc@gmail.com,감사한내과의원,서울 동대문구,,02-3298-6725,https://www.gamsahanclinic.com,,,,,
c1d2cc7c,mybeauty2010@naver.com,강가정의학과의원,서울 동대문구,,02-2244-2335,http://www.drkang4u.com/,,,,,
afe34e3a,everscd01@naver.com,강남닥터에버스의원,서울 강남구,,02-2138-0777,https://evers15.co.kr/,,,,,
e5a555d7,trustnhope@naver.com,강남닥터에버스의원,서울 강남구,,02-2138-0777,https://evers15.co.kr/,,,,,
e0290bdf,jmw2704@danacreative.kr,강남더슬림의원,서울 서초구,,02-547-9877,https://www.youtube.com/@slimTV,,,,,
46d0c1e3,webtick@gmail.com,강남미앤미의원,서울 서초구,,02-567-1102,http://gn.branch.mimimi.co.kr/event/event_list.php,,,,,
61079696,ilikedoc@naver.com,강남성모내과의원,서울 동작구,,02-581-7582,http://knsungmo.ilikedoc.kr,,,,,
8c65efc8,helpcustomer@naver.com,강남연세외과의원,서울 서초구,,02-522-1905,https://www.gnysbreast.com,,,,,
5dc6d0f4,mdvision@nate.com,강남유앤아이의원,서울 강남구,,02-6927-6022,http://www.uni114.co.kr,,,,,
24bb688c,timetime2022@naver.com,강남타임의원,서울 강남구,,02-6353-0572,http://www.gangnamtime.com,,,,,
b3cb696b,periclinic@naver.com,강남피어리의원,서울 강남구,,02-515-0202,http://www.periclinic.com/,,,,,
a139b00f,boaz_ent@naver.com,강북보아스이비인후과의원,서울 강북구,,02-980-1530,http://www.boazsleep.co.kr,,,,,
6ce7eddb,st-pain@naver.com,강북성모내과의원,서울 강북구,,02-6011-3259,http://www.신통한성모.com/,,,,,
079d3a16,dupaloclinic@gmail.com,강서신경외과의원,서울 강서구,,02-3663-2500,http://www.dupaloclinic.com/,,,,,
43d980e9,support@exampledomain.com,강일연세이비인후과의원,서울 강동구,,02-427-0559,https://giyonsei.com,,,,,
bbfbfe81,drevers86@naver.com,건대닥터에버스의원,서울 광진구,,02-6952-7131,https://www.evers25.co.kr/,,,,,
fd66f50c,goslim123@naver.com,고슬림외과의원,서울 강남구,,070-8657-4074,https://www.goslim.co.kr,,,,,
2e027b6c,info@kojungaclinic.co.kr,고정아의원,서울 강남구,,,http://kojungaclinic.co.kr/,,,,,
1c4632b8,gocheokeutteum@naver.com,고척으뜸내과의원,서울 구로구,,02-2687-7585,http://gcapexmed.com/,,,,,
edc974ef,goldjclinic123@naver.com,골드제이의원,서울 강남구,,02-501-7715,https://goldjclinic.com/,,,,,
7a8ba515,goldjclinic@naver.com,골드제이의원,서울 강남구,,02-501-7715,https://goldjclinic.com/,,,,,
4ac9e03c,u003egoldjclinic123@naver.com,골드제이의원,서울 강남구,,02-501-7715,https://goldjclinic.com/,,,,,
08fb14bf,dreamhealo@naver.com,공덕닥터에버스의원,서울 마포구,,02-711-1606,https://evers16.co.kr/,,,,,
54eaae68,master@gwsooclinic.com,관악수내과의원,서울 관악구,,02-871-1936,http://www.gwsooclinic.com,,,,,
02f1a166,khslaw@hanmail.net,관악오라클피부과의원,서울 관악구,,02-871-8301,http://www.oracleclinic.com/new/doc/net_main.php?netId=6&NVKWD,,,,,
892ba1c1,psj5948@nate.com,관악오라클피부과의원,서울 관악구,,02-871-8301,http://www.oracleclinic.com/new/doc/net_main.php?netId=6&NVKWD,,,,,
77a2a9e6,glowderm@naver.com,광피부과의원,서울 강남구,,02-566-2701,https://glowderm.kr/events,,,,,
df193285,kudo@kudo.kr,구도피부과의원,서울 용산구,,02-749-5005,https://kudo.kr/ko,,,,,
fc831b29,geurimplasticsurgery@gmail.com,그림성형외과의원,서울 강남구,,543-5467,https://www.geurimplasticsurgery.co.kr/,,,,,
60d2f047,glowclinic@naver.com,글로우의원,서울 서초구,,02-2039-2460,https://booking.naver.com/booking/13/bizes/563224,,,,,
aa305067,info@glowport.com,글로우포트의원,서울 강서구,,02-3662-6770,https://glowport.kr/,,,,,
da1d4631,feelsogoodclinic@gmail.com,기분좋은피부과의원,서울 강남구,,02-512-1675,http://www.feelsogoodclinic.com,,,,,
29b3afdf,internationalcenter@gibbeum.com,기쁨소아청소년과의원,서울 노원구,,02-931-7724,http://www.gibbeumhospital.com/,,,,,
bf40836f,kms@painzeroclinic.com,김민석재활의학과의원,서울 도봉구,,02-999-4811,http://www.painzeroclinic.com/,,,,,
9281cc55,ksyclinic38@naver.com,김송이의원,서울 강남구,,02-6406-8443,https://www.ksy-clinic.co.kr/,,,,,
4c63634c,saiur@msn.com,김인섭의원,서울 강남구,,02-529-4318,http://www.kimclinic.net,,,,,
bc544c12,contact@yozmad.com,꼬모의원,서울 용산구,,,https://www.youtube.com/@Healer_moonji,,,,,
2936da18,ilggn@naver.com,나눔의원,서울 강북구,,986-8575,https://www.shareclinic.com/,,,,,
45743500,na-medi@naver.com,나를위한산부인과의원,서울 강남구,,02-539-5004,https://na-medi.com,,,,,
4f6277f8,heaventree1075@naver.com,나무의원,서울 송파구,,02-422-7799,https://heaven-tree.co.kr/web/bbs/content.php?co_id=a01,,,,,
3e12573c,dr_orthonam@naver.com,남정형외과의원,서울 중랑구,,02-2207-8275,https://www.doctornam.com,,,,,
d0dfaabe,official@nuwaclinic.com,너와의원,서울 서초구,,02-581-1668,https://nuwaclinic.com,,,,,
224f8757,doctorevers4@naver.com,노원 닥터에버스의원,서울 노원구,,02-932-2010,https://www.evers4.co.kr,,,,,
017f00f0,company@noteprs.com,노트성형외과의원,서울 서초구,,02-542-0030,http://www.noteprs.com,,,,,
2a49da3c,info@noteprs.com,노트성형외과의원,서울 서초구,,02-542-0030,http://www.noteprs.com,,,,,
c7ec9473,nuvclinic@gmail.com,누브의원,서울 강남구,,02-6207-7179,https://nuvclinic.com,,,,,
