hospital_name,email,reason
(의)미래의료재단리드림의원,yt-support-solutions-kr@google.com,known_junk
2060오스킨성형외과의원,yt-support-solutions-kr@google.com,known_junk
강남365가정의학과의원,c2f3682ab76b520a22a12ad8978f0e9b@techlist.com,agency:techlist.com
강남더슬림의원,yt-support-solutions-kr@google.com,known_junk
강남삼성성형외과의원,yt-support-solutions-kr@google.com,known_junk
강남역데이원의원,yt-support-solutions-kr@google.com,known_junk
강남의원,yt-support-solutions-kr@google.com,known_junk
강남의원,yt-support-solutions-kr@google.com,known_junk
강남의원,yt-support-solutions-kr@google.com,known_junk
강북보아스이비인후과의원,boazent@boazent.net,agency:boazent.net
강서365의원,c2f3682ab76b520a22a12ad8978f0e9b@techlist.com,agency:techlist.com
강서비뇨기과의원,yt-support-solutions-kr@google.com,known_junk
고려금비뇨기과의원,name@domain.com,junk_domain:domain.com
공간성형외과의원,yt-support-solutions-kr@google.com,known_junk
그림성형외과의원,drkoo@drkoojeju.com,no_mx_record
글로웰의원,yt-support-solutions-kr@google.com,known_junk
김현석성형외과의원,dream@e-dream.co.kr,agency:e-dream.co.kr
꼬모의원,yt-support-solutions-kr@google.com,known_junk
나나성형외과의원,swiper-bundle@11.min.css,junk_domain:11.min.css
나나성형외과의원,swiper-bundle@11.min.js,junk_domain:11.min.js
다태나의원,n@ha.won.jang,junk_pattern
다태나의원,yt-support-solutions-kr@google.com,known_junk
닥터본성형외과의원,yt-support-solutions-kr@google.com,known_junk
닥터봄의원,yt-support-solutions-kr@google.com,known_junk
닥터정리반의원,yt-support-solutions-kr@google.com,known_junk
더블유(W)의원,yt-support-solutions-kr@google.com,known_junk
더블유의원,yt-support-solutions-kr@google.com,known_junk
더서울피부과의원,yt-support-solutions-kr@google.com,known_junk
더셀피부과의원,yt-support-solutions-kr@google.com,known_junk
더신사의원,yt-support-solutions-kr@google.com,known_junk
더이쁨풀의원,imweb@imweb.me,agency:imweb.me
더행복한흉부외과의원,yt-support-solutions-kr@google.com,known_junk
도곡리더스피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
디아뜨의원,yt-support-solutions-kr@google.com,known_junk
디아이성형외과의원,yt-support-solutions-kr@google.com,known_junk
디앤써피부과의원,yt-support-solutions-kr@google.com,known_junk
디엠성형외과의원,yt-support-solutions-kr@google.com,known_junk
디테성형외과의원,yt-support-solutions-kr@google.com,known_junk
디파인피부과의원,yt-support-solutions-kr@google.com,known_junk
라미체성형외과의원,yt-support-solutions-kr@google.com,known_junk
라봄성형외과의원,yt-support-solutions-kr@google.com,known_junk
라비앙의원,yt-support-solutions-kr@google.com,known_junk
라이블리성형외과의원,yt-support-solutions-kr@google.com,known_junk
라인마스터의원,yt-support-solutions-kr@google.com,known_junk
레디성형외과의원,yt-support-solutions-kr@google.com,known_junk
레디피부과의원,yt-support-solutions-kr@google.com,known_junk
레아트성형외과의원,yt-support-solutions-kr@google.com,known_junk
로하스의원,yt-support-solutions-kr@google.com,known_junk
루나여성의원,lunawclinic@naver.com​,invalid_format
리더스압구정피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
리더스피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
리더스피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
리스펙성형외과의원,yt-support-solutions-kr@google.com,known_junk
리앤여성의원,reann@reann.co.kr,no_mx_record
리앤여성의원,tech@eurekanet.co.kr,agency:eurekanet.co.kr
리프업의원,yt-support-solutions-kr@google.com,known_junk
링클성형외과의원,info@domain.com,junk_domain:domain.com
마크성형외과의원,yt-support-solutions-kr@google.com,known_junk
맑은수의원,yt-support-solutions-kr@google.com,known_junk
맑을아 의원,yt-support-solutions-kr@google.com,known_junk
메이린의원,mkt@maylin.co.kr,agency:maylin.co.kr
메이린의원,mkt@maylin.co.kr,agency:maylin.co.kr
메이린의원,mkt@maylin.co.kr,agency:maylin.co.kr
메이린청담의원,yt-support-solutions-kr@google.com,known_junk
명동리더스피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
모나라피부과의원,yt-support-solutions-kr@google.com,known_junk
모먼트의원,yt-support-solutions-kr@google.com,known_junk
모아트의원,yt-support-solutions-kr@google.com,known_junk
모텐셜의원,yt-support-solutions-kr@google.com,known_junk
목동리더스피부과의원,master@beautyleader.co.kr,agency:beautyleader.co.kr
무드온성형외과의원,yt-support-solutions-kr@google.com,known_junk
물방울성형외과의원,yt-support-solutions-kr@google.com,known_junk
미다스의원,yt-support-solutions-kr@google.com,known_junk
미모던피부과의원,yt-support-solutions-kr@google.com,known_junk
