hospital_name,institution_type,specialty,departments,address,sido,sigungu,dong,phone,website,email,representative,bed_count,doctor_count,established_date,ykiho,source
세라미크의원 강남,"병원,의원>피부과",피부과,피부과,서울특별시 강남구 봉은사로2길 29 B1층~5층,서울특별시,강남구,봉은사로2길,,https://www.gangnam.ceramiqueclinic.com,,,,,,,naver
엔디어트의원,"병원,의원>피부과",피부과,피부과,"서울특별시 강남구 압구정로28길 48 참빌딩 2, 4층",서울특별시,강남구,압구정로28길,,https://pf.kakao.com/_MaxoxcG,,,,,,,naver
데이뷰의원 강남점,"병원,의원>피부과",피부과,피부과,서울특별시 강남구 강남대로 494,서울특별시,강남구,강남대로,,https://www.instagram.com/daybeauclinic_gangnam,,,,,,,naver
메이드유의원 강남본점,"병원,의원>피부과",피부과,피부과,"서울특별시 강남구 강남대로 516 메이드유빌딩 2층, 3층, 4층",서울특별시,강남구,강남대로,,http://www.madeu.co.kr/,,,,,,,naver
어린공주성형외과의원,"병원,의원>성형외과",피부과,피부과,서울특별시 강남구 도산대로 110 KBL빌딩 4층 어린공주성형외과,서울특별시,강남구,도산대로,,http://www.lpps.co.kr,,,,,,,naver
제너리스의원 천호점,"병원,의원>피부과",피부과,피부과,서울특별시 강동구 올림픽로 658 2층 201호,서울특별시,강동구,올림픽로,,https://www.youtube.com/@dr.dragon5810,yt-support-solutions-kr@google.com,제너리스,,,,,naver
도약한의원,"병원,의원>한의원",피부과,피부과,서울특별시 강동구 올림픽로 659 쌍용플래티넘리버 2층 도약한의원,서울특별시,강동구,올림픽로,,https://www.doyakhani.co.kr/,,,,,,,naver
유앤아이의원 천호점,"병원,의원>피부과",피부과,피부과,서울특별시 강동구 천호대로 1024 지하1층,서울특별시,강동구,천호대로,,https://www.chuni114.co.kr/m/reservation,,진료,,,,,naver
디에스타의원 강동천호,"병원,의원>피부과",피부과,피부과,서울특별시 강동구 천호대로 1053 이안강동컴홈스테이1차 304호,서울특별시,강동구,천호대로,,https://ch.diesta.co.kr/,,강병조,,,,,naver
경희늘생한의원,"병원,의원>한의원",피부과,피부과,서울특별시 강동구 천호대로 1123 건영빌딩 3층,서울특별시,강동구,천호대로,,https://blog.naver.com/neulseng,,,,,,,naver
바로굿정형외과의원,"병원,의원>정형외과",피부과,피부과,서울특별시 강북구 도봉로 333,서울특별시,강북구,도봉로,,http://www.barogood.co.kr,,문지호입,,,,,naver
