이메일 주소,이름,지역,진료과목,전화번호,웹사이트
khdh0411@naver.com,경희동행한의원 수유,서울특별시 강북구,피부과,,http://khdhhani1.com/
dilis109@naver.com,데이뷰의원 강서발산점,서울특별시 강서구,피부과,,https://daybeauclinic01.com/branch/
beautyonmd@gmail.com,뷰티온의원 마곡점,서울특별시 강서구,피부과,,https://gangseo.beautyon.co.kr/
ilggn@naver.com,연세나눔의원,서울특별시 강서구,피부과,,https://www.shareclinic.com/
webtick@gmail.com,톤즈의원 강서발산점,서울특별시 강서구,피부과,,https://www.riel-clinic.com/
mdvision@nate.com,유앤아이의원 건대점,서울특별시 광진구,피부과,,https://www.kduni114.co.kr/
alexander89k@naver.com,본라인한의원 가산,서울특별시 금천구,피부과,,http://boneline.kr
webtick@gmail.com,셀린의원 노원점,서울특별시 노원구,피부과,,https://www.cellinclinic11.com/
insa@hanilmed.net,한일병원,서울특별시 도봉구,피부과,,https://www.hanilmed.net/
webtick@gmail.com,365매일한방병원 동대문,서울특별시 동대문구,피부과,,https://ddm.365maeil.com
beautyquecnn@naver.com,뷰티크의원 청량리,서울특별시 동대문구,피부과,,https://beautyqueclinic2.com/?utm_source=naver&utm_medium=referral&utm_campaign=PL_CN
"sahtre@naver.com, symcirb@naver.com",삼육서울병원,서울특별시 동대문구,피부과,,http://www.symcs.co.kr
dilis109@naver.com,데이뷰의원 마포홍대입구역,서울특별시 마포구,피부과,,https://daybeauclinic02.com/branch/
scme5541@naver.com,오블리주의원 홍대,서울특별시 마포구,피부과,,https://booking.naver.com/booking/13/bizes/167377?area=pll
hyumc50@gmail.com,한양대학교병원,서울특별시 성동구,피부과,,https://youtube.com/user/HYUnivMedical
mcc@amc.seoul.kr,서울아산병원,서울특별시 송파구,피부과,,http://www.amc.seoul.kr/
dilis109@naver.com,데이뷰의원 여의도,서울특별시 영등포구,피부과,,https://daybeauclinic08.com
dilis109@naver.com,데이뷰의원 영등포,서울특별시 영등포구,피부과,,https://daybeauclinic09.com/branch/
drd.clinic8@gmail.com,닥터디자이너의원 영등포,서울특별시 영등포구,피부과,,https://ydp.drdclinic.co.kr/s/zczh0
contact@dodskinys.com,디오디피부과의원 용산,서울특별시 용산구,피부과,,http://dodskinys.com
webtick@gmail.com,셀린의원 연신내역,서울특별시 은평구,피부과,,https://www.cellinclinic0.com/
