hospital_name,institution_type,specialty,departments,address,sido,sigungu,dong,phone,website,email,representative,bed_count,doctor_count,established_date,ykiho,source
(사)한국한센복지협회서울특별시지부부설의원,의원,,,"서울특별시 동작구 상도로 170, 2층 (상도동)",서울,동작구,상도동,02-812-1894,https://www.modoodoc.com/hospital/4478/%ED%95%9C%EA%B5%AD%ED%95%9C%EC%84%BC%EB%B3%B5%EC%A7%80%ED%98%91%ED%9A%8C%EB%B6%80%EC%84%A4%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EB%8F%99%EC%9E%91%EA%B5%AC,,프로필,0,1,19860109,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz,hira
(스카이메디)연세건강증진내과의원,의원,,,"서울특별시 송파구 송파대로 371, 2층,3층,4층 (석촌동)",서울,송파구,석촌동,02-418-9999,https://www.drnoh.kr/,,노태웅,0,1,19820427,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz,hira
(의) 열린의료재단 동대문열린의원,의원,,,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",서울,종로구,창신동,02-924-0875,,,,0,1,20080610,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz,hira
(의) 열린의료재단 상봉열린의원,의원,,,"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",서울,중랑구,상봉동,02-435-0875,https://ymf-sb.co.kr/,,,0,1,20040308,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNzEjJDEjJDgjJDgz,hira
(의) 열린의료재단 영등포열린의원,의원,,,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",서울,영등포구,영등포동4가,02-2676-0832,,,,0,1,20010901,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,hira
(의)미래의료재단리드림의원,의원,,,"서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",서울,강남구,삼성동,02-540-0001,https://mrhealth.co.kr/,yt-support-solutions-kr@google.com,,0,9,20000712,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz,hira
(의)성광의료재단 차움의원,의원,,,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",서울,강남구,청담동,02-3015-5000,http://www.chaum.net,,김춘복,0,23,20100520,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,hira
(재)이랜드재단 이랜드의원,의원,,,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 401~402호 (가산동)",서울,금천구,가산동,2635-8668,http://www.elandclinic.com,,,0,6,20080117,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ4OSQyNjEyMjIjNTEjJDEjJDIjJDgz,hira
(재)천주교서울대교구유지재단 전진상의원,의원,,,"서울특별시 금천구 탑골로3가길 22, 전진상사회복지관 (시흥동)",서울,금천구,시흥동,02-802-9311,https://weseb.com/SJB/m.php?board=love&command=body&no=3541,,,0,2,19910926,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz,hira
(주)제이시스메디칼부속의원,의원,,,"서울특별시 강남구 강남대로 566, 신영와코루빌딩 1층 일부 (논현동)",서울,강남구,논현동,,,,,0,0,20230601,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQyIyQzIyQwMCQyNjE4MzIjNDEjJDEjJDQjJDgz,hira
10년전당신의오늘의원,의원,,,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",서울,강남구,청담동,02-541-0333,http://www.chps.co.kr,,,0,1,20210827,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,hira
111의원,의원,,,"서울특별시 강남구 도산대로 111, (신사동, S-TOWER 11~12층)",서울,강남구,신사동,02-540-8111,https://ddocdoc.com/hospital/57171f13e207df2709f1cd3e,,,0,1,20151119,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,hira
123의원,의원,,,"서울특별시 강남구 삼성로 212, 241호 (대치동, 은마상가 B블럭)",서울,강남구,대치동,02-567-9123,http://www.123nunco.com,,,0,1,20081017,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDQjJDgz,hira
1삼성탑의원,의원,,,"서울특별시 성동구 고산자로 255, 5층 (도선동, 케이-타워)",서울,성동구,도선동,02-2299-8875,https://store114.net/store/detail.asp?seq=AxE5BsAvCgEN,,,0,1,20091104,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQyIyQzIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,hira
2060오스킨성형외과의원,의원,,,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 7층 (삼성동)",서울,강남구,삼성동,02-555-2324,http://www.youtube.com/@oskin2060,yt-support-solutions-kr@google.com,,0,1,20011008,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQyIyQ1IyQwMCQyNjEwMDIjNDEjJDEjJDQjJDgz,hira
210정형외과의원,의원,,,"서울특별시 양천구 목동동로 150, 목동 블루스퀘어 2층 일부,4~6층 (신정동)",서울,양천구,신정동,02-2605-0210,https://orthopedics210.com/,,인사말,0,3,20210112,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ4MiQzNjEyMjIjNDEjJDEjJDgjJDgz,hira
21성형외과의원,의원,,,"서울특별시 서초구 강남대로 441, 서산빌딩 10층 (서초동)",서울,서초구,서초동,02-596-2121,https://21ps.co.kr/,,이벤트,0,3,20221209,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,hira
247외과의원,의원,,,"서울특별시 강남구 봉은사로 108, 2층 (역삼동)",서울,강남구,역삼동,02-562-0247,http://247clinic.co.kr/,,전화,0,1,20160927,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ5MiQyNjE4MzIjNTEjJDEjJDIjJDgz,hira
24시열린의원,의원,,,"서울특별시 광진구 능동로 90, 3층 (자양동, 더클래식500)",서울,광진구,자양동,02-455-2475,https://blog.naver.com/24clinic,,,0,4,20130927,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz,hira
24시열린의원,의원,,,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지하층 B1095호 (상암동)",서울,마포구,상암동,02-2132-2475,https://blog.naver.com/24clinic,,,0,2,20171229,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz,hira
24시열린의원,의원,,,"서울특별시 송파구 백제고분로 187, 2층 205,206호 (잠실동, 파크인수)",서울,송파구,잠실동,02-415-2475,https://blog.naver.com/24clinic,,,0,1,20160104,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQwMyQyNjEwMDIjNTEjJDEjJDIjJDgz,hira
365다움의원,의원,,,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 (행당동)",서울,성동구,행당동,02-2297-1755,https://blog.naver.com/dawoomcl,,,0,2,20110419,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNTEjJDEjJDYjJDgz,hira
365대림정형외과의원,의원,,,"서울특별시 영등포구 도림로 140, 대림빌딩 2층 (대림동)",서울,영등포구,대림동,02-833-3363,https://blog.naver.com/365daerimos,,,0,1,20251107,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQwMyQ0NjE0ODEjNzEjJDEjJDgjJDgz,hira
365더튼튼의원,의원,,,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",서울,구로구,오류동,02-2060-9111,,,,0,1,20080220,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjNTEjJDEjJDIjJDgz,hira
365문정사랑의원,의원,,,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",서울,송파구,문정동,02-431-1339,,,,0,1,20181214,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ4MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,hira
365미소내과의원,의원,,,"서울특별시 동작구 남부순환로 2055, 2층 (사당동)",서울,동작구,사당동,02-522-3650,65miso.co.kr/,,,0,2,20120330,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ5OSQzNjEwMDIjNDEjJDEjJDgjJDgz,hira
365봄연합의원,의원,,,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 227,236~240호 (등촌동)",서울,강서구,등촌동,02-2054-6717,https://blog.naver.com/365bom_doctor,,,0,2,20220803,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz,hira
365서울늘열린의원,의원,,,"서울특별시 강동구 양재대로 1343, 2층 (성내동)",서울,강동구,성내동,02-484-4799,https://blog.naver.com/4844799,,,0,1,20080213,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz,hira
365서울연합의원,의원,,,"서울특별시 중랑구 망우로 463, 2층 (망우동)",서울,중랑구,망우동,02-432-7580,,,,0,1,20080617,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,hira
365아이엠유의원,의원,,,"서울특별시 송파구 송파대로 82, 장지역 104호 (장지동)",서울,송파구,장지동,02-401-0365,https://blog.naver.com/365imujangji,,,0,2,20251219,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3OSQzNjEwMDIjNDEjJDEjJDgjJDgz,hira
365연세의원,의원,,,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",서울,성동구,하왕십리동,02-2291-2211,https://365ysm-mo4.imweb.me,hswdreams@hanmail.net,원장,0,1,20170407,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,hira
365열린가정의학과의원,의원,,,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",서울,강남구,대치동,02-565-7119,https://blog.naver.com/mdkks1004,,,0,1,20180125,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ4OSQzNjEwMDIjNTEjJDEjJDYjJDgz,hira
365열린내과의원,의원,,,"서울특별시 노원구 한글비석로 77, 3층 (하계동)",서울,노원구,하계동,02-976-3658,https://blog.naver.com/wonofhan,,,0,2,20100201,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ5OSQyNjEwMDIjNzEjJDEjJDgjJDgz,hira
365열린의원,의원,,,"서울특별시 강동구 올림픽로 664, 3층 (천호동, 대우한강베네시티)",서울,강동구,천호동,02-478-0365,http://www.365medical.co.kr,,,0,1,20100902,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz,hira
365온(ON)가정의원,의원,,,"서울특별시 중구 왕십리로 407, B1층 2호 (신당동, 신당 파인힐 하나유보라)",서울,중구,신당동,02-6212-0365,https://www.365onmedi.co.kr,,,0,1,20230512,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,hira
365이화웃는세상의원,의원,,,"서울특별시 은평구 진관3로 11, 3층 301호 (진관동, 은평뉴타운 힐데스하임)",서울,은평구,진관동,02-1600-1527,https://blog.naver.com/ewhasmile07,,,0,1,20180920,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQ1IyQxMyQyNjE4MzIjNjEjJDEjJDQjJDgz,hira
365코이의원,의원,,,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 4층일부, 5층 (논현동)",서울,강남구,논현동,02-540-0442,https://365koi.imweb.me,,이미지,0,1,20200107,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz,hira
365한국신통의원,의원,,,"서울특별시 광진구 면목로 174, 2층 (중곡동)",서울,광진구,중곡동,02-499-0906,,,,0,1,20150612,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQwMyQyNjE4MzIjNjEjJDEjJDQjJDgz,hira
365항외과의원,의원,,,"서울특별시 강북구 도봉로 333, 8층 (수유동, 정우빌딩)",서울,강북구,수유동,02-900-0365,http://www.365hang.co.kr/web/,,박찬호,0,2,20150703,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5OSQyNjEyMjIjNDEjJDEjJDQjJDgz,hira
365휘경사랑의원,의원,,,"서울특별시 동대문구 망우로 77, 2층 (휘경동)",서울,동대문구,휘경동,02-2245-3638,,,,0,1,20250414,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjNTEjJDEjJDIjJDgz,hira
