hospital_name,address,naver_website,naver_phone
(의) 열린의료재단 동대문열린의원,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",,
(의) 열린의료재단 영등포열린의원,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",,
(주)제이시스메디칼부속의원,"서울특별시 강남구 강남대로 566, 신영와코루빌딩 1층 일부 (논현동)",,
2060오스킨성형외과의원,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 7층 (삼성동)",http://www.youtube.com/@oskin2060,02-555-2324
210정형외과의원,"서울특별시 양천구 목동동로 150, 목동 블루스퀘어 2층 일부,4~6층 (신정동)",https://orthopedics210.com/,02-2605-0210
247외과의원,"서울특별시 강남구 봉은사로 108, 2층 (역삼동)",http://247clinic.co.kr/,02-562-0247
24시열린의원,"서울특별시 광진구 능동로 90, 3층 (자양동, 더클래식500)",https://blog.naver.com/24clinic,02-455-2475
24시열린의원,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지하층 B1095호 (상암동)",https://blog.naver.com/24clinic,02-2132-2475
24시열린의원,"서울특별시 송파구 백제고분로 187, 2층 205,206호 (잠실동, 파크인수)",https://blog.naver.com/24clinic,02-415-2475
365다움의원,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 (행당동)",https://blog.naver.com/dawoomcl,02-2297-1755
365대림정형외과의원,"서울특별시 영등포구 도림로 140, 대림빌딩 2층 (대림동)",https://blog.naver.com/365daerimos,02-833-3363
365더튼튼의원,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",,
365문정사랑의원,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",,
365봄연합의원,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 227,236~240호 (등촌동)",https://blog.naver.com/365bom_doctor,02-2054-6717
365서울늘열린의원,"서울특별시 강동구 양재대로 1343, 2층 (성내동)",https://blog.naver.com/4844799,02-484-4799
365서울연합의원,"서울특별시 중랑구 망우로 463, 2층 (망우동)",,
365아이엠유의원,"서울특별시 송파구 송파대로 82, 장지역 104호 (장지동)",https://blog.naver.com/365imujangji,02-401-0365
365연세의원,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",https://365ysm-mo4.imweb.me,02-2291-2211
365열린가정의학과의원,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",https://blog.naver.com/mdkks1004,02-565-7119
365열린내과의원,"서울특별시 노원구 한글비석로 77, 3층 (하계동)",,
365온(ON)가정의원,"서울특별시 중구 왕십리로 407, B1층 2호 (신당동, 신당 파인힐 하나유보라)",,
365이화웃는세상의원,"서울특별시 은평구 진관3로 11, 3층 301호 (진관동, 은평뉴타운 힐데스하임)",https://blog.naver.com/ewhasmile07,02-1600-1527
365코이의원,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 4층일부, 5층 (논현동)",,
365한국신통의원,"서울특별시 광진구 면목로 174, 2층 (중곡동)",,
365항외과의원,"서울특별시 강북구 도봉로 333, 8층 (수유동, 정우빌딩)",http://www.365hang.co.kr/web/,02-900-0365
365휘경사랑의원,"서울특별시 동대문구 망우로 77, 2층 (휘경동)",,
365힐링의원,"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)",,
815의원,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",,
90일의기적의원,"서울특별시 강남구 도산대로 509, 에스디바이오센서 4층 (청담동)",https://blog.naver.com/miracle90d,02-512-7515
BJ 라임의원,"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 (남현동)",,
BLS(비엘에스)의원,"서울특별시 강남구 도산대로67길 13-5, BLS클리닉빌딩 1,2,3,6층 (청담동)",,
CL성형외과의원,"서울특별시 노원구 동일로 1392, 5층 (상계동, 노원한일빌딩)",,
Dr홍연합의원,"서울특별시 송파구 토성로 78, 203호 (풍납동)",,
S아이니의원,"서울특별시 구로구 도림로 90, 혜성빌딩 5층 (구로동)",,
읻다의원,"서울특별시 강남구 도산대로 509, 에스디바이오센서 3층 (청담동)",http://iddaclinic.com,02-3442-7588
가든내과의원,"서울특별시 마포구 마포대로 52, (도화동, 고려아카데미텔Ⅱ)",,
가락마취통증의학과의원,"서울특별시 송파구 중대로 68, 4층 405호 (문정동, 훼미리 샤르망)",,
가람내과의원,"서울특별시 강동구 아리수로50길 50, 4층 11호 (고덕동, 래미안힐스테이트고덕)",http://www.가람내과.한국,02-427-7575
가미의원,"서울특별시 송파구 오금로 176, 지인빌딩 3층 (송파동)",https://www.kamiskin.co.kr/,02-416-6700
가산디지털내과의원,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 118호 (가산동)",https://blog.naver.com/gadimed,02-6269-8501
가산시그니처정형외과의원,"서울특별시 금천구 가산디지털2로 144, 현대테라타워 가산DK 2층 211,212,213,214호 (가산동)",https://www.signatureos.co.kr/,02-6959-0675
가산연합의원,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 403호 (가산동)",http://www.gasanclinic.com/,02-1666-2500
가양성모내과의원,"서울특별시 강서구 화곡로68길 3, 401호, 404~407호 (등촌동)",https://blog.naver.com/gayang_sungmo,02-2668-5050
가재울정내과의원,"서울특별시 서대문구 가재울미래로 2, 별동상가동 3층 304-1,2/305-1,2호 (남가좌동, DMC파크뷰자이)",,
가족건강의원,"서울특별시 도봉구 해등로 218, (쌍문동)",,
가톨릭정형외과의원,"서울특별시 중랑구 면목로 357, 3,4층 (면목동, 삼일빌딩)",,
감사한내과의원,"서울특별시 동대문구 천호대로 2, 이지빌딩 4층 (신설동)",https://www.gamsahanclinic.com,02-3298-6725
강가정의학과의원,"서울특별시 동대문구 서울시립대로 31, 102동 201호 (전농동, 동아아파트)",,
강가정의학과의원,"서울특별시 마포구 방울내로 70, 2층 (망원동)",,
강남12의원,"서울특별시 강남구 테헤란로 111, 4층 (역삼동, 대건빌딩)",http://www.gangnam12.co.kr/,02-567-3000
강남365가정의학과의원,"서울특별시 강남구 학동로 346, 강남구청역 지하1층 102호 (삼성동)",,
강남닥터에버스의원,"서울특별시 강남구 강남대로 458, 남영빌딩 8~10층 (역삼동)",,
강남더슬림의원,"서울특별시 서초구 신반포로 315, 삼덕빌딩 4층 (잠원동)",https://www.youtube.com/@slimTV,02-547-9877
강남더의원,"서울특별시 강남구 학동로 342, 에스케이 허브블루 4층 404호 (논현동)",,
강남디렉터의원,"서울특별시 서초구 서초대로77길 62, 강남역 IPARK L108호 제108호~113호 (서초동)",,
강남라렌의원,"서울특별시 강남구 강남대로 378, 준빌딩 10층 (역삼동)",http://gwangmyeong.lareinegroup.co.kr/,02-894-7781
강남라해의원,"서울특별시 강남구 강남대로 548, 건우빌딩 7층 (논현동)",http://www.rahae.co.kr/,02-598-0612
강남로미모의원,"서울특별시 강남구 테헤란로 107, 비전타워 11층 (역삼동)",http://www.romimo.co.kr,02-566-6623
강남리즈의료생활협동조합 강남리즈의원,"서울특별시 구로구 도림로23길 2, 한호빌딩 2층 (구로동)",,
강남메이퓨어의원,"서울특별시 강남구 역삼로1길 18, 3층 일부층 (역삼동)",https://www.maypureclinic.com/ko/,02-6959-5676
강남미앤미의원,"서울특별시 서초구 강남대로 439, 유화빌딩 8층 901호 (서초동)",,
