hospital_name,institution_type,specialty,departments,address,sido,sigungu,dong,phone,website,email,representative,bed_count,doctor_count,established_date,ykiho
(의)미래의료재단리드림의원,의원,,,"서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",서울,강남구,삼성동,02-540-0001,https://mrhealth.co.kr/,yt-support-solutions-kr@google.com,,0,9,20000712,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz
2060오스킨성형외과의원,의원,,,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 7층 (삼성동)",서울,강남구,삼성동,02-555-2324,http://www.youtube.com/@oskin2060,yt-support-solutions-kr@google.com,,0,1,20011008,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQyIyQ1IyQwMCQyNjEwMDIjNDEjJDEjJDQjJDgz
365연세의원,의원,,,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",서울,성동구,하왕십리동,02-2291-2211,https://365ysm-mo4.imweb.me,hswdreams@hanmail.net,원장,0,1,20170407,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDAjJDgz
815의원,의원,,,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",서울,강남구,신사동,02-515-8150,https://knockknockplant.co.kr/,hosting@gabia.com,,0,3,20180820,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz
감사한내과의원,의원,,,"서울특별시 동대문구 천호대로 2, 이지빌딩 4층 (신설동)",서울,동대문구,신설동,02-3298-6725,https://www.gamsahanclinic.com,hello.studioplanc@gmail.com,깊이가,0,1,20251217,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz
강가정의학과의원,의원,,,"서울특별시 동대문구 서울시립대로 31, 102동 201호 (전농동, 동아아파트)",서울,동대문구,전농동,02-2244-2335,http://www.drkang4u.com/,"jgkim@interactivy.com, khahn@interactivy.com, mybeauty2010@naver.com",강영록,0,1,20001031,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNTEjJDEjJDIjJDgz
강가정의학과의원,의원,,,"서울특별시 마포구 방울내로 70, 2층 (망원동)",서울,마포구,망원동,02-337-8645,http://www.drkang4u.com/,"jgkim@interactivy.com, khahn@interactivy.com, mybeauty2010@naver.com",강영록,0,1,20040422,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz
강남365가정의학과의원,의원,,,"서울특별시 강남구 학동로 346, 강남구청역 지하1층 102호 (삼성동)",서울,강남구,삼성동,02-3442-7668,https://bit.ly/3WuYN7n,c2f3682ab76b520a22a12ad8978f0e9b@techlist.com,,0,1,20150825,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQxMyQzNjEyMjIjNDEjJDEjJDQjJDgz
강남고운세상피부과의원,의원,,,"서울특별시 강남구 테헤란로2길 8, 3층 (역삼동)",서울,강남구,역삼동,02-3477-2020,http://www.beautyforever.co.kr,"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 8c30b2581acc426badc414e8a5dc04ef@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com",,0,1,20160922,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ3MiQzNjE4MzIjNTEjJDEjJDYjJDgz
강남닥터에버스의원,의원,,,"서울특별시 강남구 강남대로 458, 남영빌딩 8~10층 (역삼동)",서울,강남구,역삼동,02-2138-0777,https://evers15.co.kr/,"everscd01@naver.com, trustnhope@naver.com",박승용,0,11,20241002,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ3OSQyNjE0ODEjNjEjJDEjJDAjJDgz
