hospital_name,institution_type,specialty,departments,address,sido,sigungu,dong,phone,website,email,representative,bed_count,doctor_count,established_date,ykiho
(사)한국한센복지협회서울특별시지부부설의원,의원,,,"서울특별시 동작구 상도로 170, 2층 (상도동)",서울,동작구,상도동,02-812-1894,,,,0,1,19860109,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz
(스카이메디)연세건강증진내과의원,의원,,,"서울특별시 송파구 송파대로 371, 2층,3층,4층 (석촌동)",서울,송파구,석촌동,02-418-9999,,,,0,1,19820427,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz
(의) 열린의료재단 동대문열린의원,의원,,,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",서울,종로구,창신동,02-924-0875,,,,0,1,20080610,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz
(의) 열린의료재단 상봉열린의원,의원,,,"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",서울,중랑구,상봉동,02-435-0875,,,,0,1,20040308,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNzEjJDEjJDgjJDgz
(의) 열린의료재단 영등포열린의원,의원,,,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",서울,영등포구,영등포동4가,02-2676-0832,,,,0,1,20010901,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz
(의)미래의료재단리드림의원,의원,,,"서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",서울,강남구,삼성동,02-540-0001,,,,0,9,20000712,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz
(의)성광의료재단 차움의원,의원,,,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",서울,강남구,청담동,02-3015-5000,http://www.chaum.net,,,0,23,20100520,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz
(재)이랜드재단 이랜드의원,의원,,,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 401~402호 (가산동)",서울,금천구,가산동,2635-8668,http://www.elandclinic.com,,,0,6,20080117,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ4OSQyNjEyMjIjNTEjJDEjJDIjJDgz
(재)천주교서울대교구유지재단 전진상의원,의원,,,"서울특별시 금천구 탑골로3가길 22, 전진상사회복지관 (시흥동)",서울,금천구,시흥동,02-802-9311,,,,0,2,19910926,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz
(주)제이시스메디칼부속의원,의원,,,"서울특별시 강남구 강남대로 566, 신영와코루빌딩 1층 일부 (논현동)",서울,강남구,논현동,,,,,0,0,20230601,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQyIyQzIyQwMCQyNjE4MzIjNDEjJDEjJDQjJDgz
10년전당신의오늘의원,의원,,,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",서울,강남구,청담동,02-541-0333,http://www.chps.co.kr,,,0,1,20210827,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz
111의원,의원,,,"서울특별시 강남구 도산대로 111, (신사동, S-TOWER 11~12층)",서울,강남구,신사동,02-540-8111,,,,0,1,20151119,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
