이메일 주소,이름,지역,진료과목,전화번호,웹사이트
hswdreams@hanmail.net,365연세의원,서울 성동구,,02-2291-2211,https://365ysm-mo4.imweb.me
hello.studioplanc@gmail.com,감사한내과의원,서울 동대문구,,02-3298-6725,https://www.gamsahanclinic.com
mybeauty2010@naver.com,강가정의학과의원,서울 동대문구,,02-2244-2335,http://www.drkang4u.com/
everscd01@naver.com,강남닥터에버스의원,서울 강남구,,02-2138-0777,https://evers15.co.kr/
trustnhope@naver.com,강남닥터에버스의원,서울 강남구,,02-2138-0777,https://evers15.co.kr/
jmw2704@danacreative.kr,강남더슬림의원,서울 서초구,,02-547-9877,https://www.youtube.com/@slimTV
webtick@gmail.com,강남미앤미의원,서울 서초구,,02-567-1102,http://gn.branch.mimimi.co.kr/event/event_list.php
ilikedoc@naver.com,강남성모내과의원,서울 동작구,,02-581-7582,http://knsungmo.ilikedoc.kr
helpcustomer@naver.com,강남연세외과의원,서울 서초구,,02-522-1905,https://www.gnysbreast.com
mdvision@nate.com,강남유앤아이의원,서울 강남구,,02-6927-6022,http://www.uni114.co.kr
timetime2022@naver.com,강남타임의원,서울 강남구,,02-6353-0572,http://www.gangnamtime.com
periclinic@naver.com,강남피어리의원,서울 강남구,,02-515-0202,http://www.periclinic.com/
boaz_ent@naver.com,강북보아스이비인후과의원,서울 강북구,,02-980-1530,http://www.boazsleep.co.kr
st-pain@naver.com,강북성모내과의원,서울 강북구,,02-6011-3259,http://www.신통한성모.com/
dupaloclinic@gmail.com,강서신경외과의원,서울 강서구,,02-3663-2500,http://www.dupaloclinic.com/
support@exampledomain.com,강일연세이비인후과의원,서울 강동구,,02-427-0559,https://giyonsei.com
drevers86@naver.com,건대닥터에버스의원,서울 광진구,,02-6952-7131,https://www.evers25.co.kr/
goslim123@naver.com,고슬림외과의원,서울 강남구,,070-8657-4074,https://www.goslim.co.kr
info@kojungaclinic.co.kr,고정아의원,서울 강남구,,,http://kojungaclinic.co.kr/
gocheokeutteum@naver.com,고척으뜸내과의원,서울 구로구,,02-2687-7585,http://gcapexmed.com/
goldjclinic123@naver.com,골드제이의원,서울 강남구,,02-501-7715,https://goldjclinic.com/
goldjclinic@naver.com,골드제이의원,서울 강남구,,02-501-7715,https://goldjclinic.com/
u003egoldjclinic123@naver.com,골드제이의원,서울 강남구,,02-501-7715,https://goldjclinic.com/
dreamhealo@naver.com,공덕닥터에버스의원,서울 마포구,,02-711-1606,https://evers16.co.kr/
master@gwsooclinic.com,관악수내과의원,서울 관악구,,02-871-1936,http://www.gwsooclinic.com
khslaw@hanmail.net,관악오라클피부과의원,서울 관악구,,02-871-8301,http://www.oracleclinic.com/new/doc/net_main.php?netId=6&NVKWD
psj5948@nate.com,관악오라클피부과의원,서울 관악구,,02-871-8301,http://www.oracleclinic.com/new/doc/net_main.php?netId=6&NVKWD
glowderm@naver.com,광피부과의원,서울 강남구,,02-566-2701,https://glowderm.kr/events
kudo@kudo.kr,구도피부과의원,서울 용산구,,02-749-5005,https://kudo.kr/ko
geurimplasticsurgery@gmail.com,그림성형외과의원,서울 강남구,,543-5467,https://www.geurimplasticsurgery.co.kr/
